ID,sepallength,sepalwidth,petallength,petalwidth,class
medium,medium,low,medium,medium,Iris-versicolor
medium,medium,medium,medium,medium,Iris-versicolor
medium,low,low,medium,medium,Iris-versicolor
medium,medium,medium,medium,medium,Iris-versicolor
medium,low,low,medium,medium,Iris-versicolor
medium,low,low,medium,medium,Iris-versicolor
medium,medium,medium,medium,medium,Iris-versicolor
medium,medium,low,medium,medium,Iris-versicolor
medium,medium,medium,medium,medium,Iris-versicolor
medium,medium,medium,medium,medium,Iris-versicolor
medium,medium,medium,medium,medium,Iris-versicolor
medium,medium,medium,medium,medium,Iris-versicolor
medium,medium,low,medium,medium,Iris-versicolor
medium,medium,low,medium,medium,Iris-versicolor
medium,medium,low,medium,medium,Iris-versicolor
medium,medium,medium,medium,high,Iris-versicolor
medium,medium,low,medium,medium,Iris-versicolor
medium,medium,low,medium,medium,Iris-versicolor
medium,medium,low,medium,medium,Iris-versicolor
medium,medium,medium,medium,medium,Iris-versicolor
medium,medium,medium,medium,medium,Iris-versicolor
medium,high,low,medium,medium,Iris-versicolor
medium,medium,medium,high,medium,Iris-versicolor
medium,medium,medium,medium,medium,Iris-versicolor
medium,medium,low,medium,medium,Iris-versicolor
medium,low,low,medium,medium,Iris-versicolor
medium,low,low,medium,medium,Iris-versicolor
medium,medium,low,medium,medium,Iris-versicolor
medium,medium,low,high,medium,Iris-versicolor
medium,low,medium,medium,medium,Iris-versicolor
medium,medium,medium,medium,medium,Iris-versicolor
medium,medium,medium,medium,medium,Iris-versicolor
medium,medium,low,medium,medium,Iris-versicolor
medium,medium,medium,medium,medium,Iris-versicolor
medium,low,low,medium,medium,Iris-versicolor
medium,low,low,medium,medium,Iris-versicolor
medium,medium,medium,medium,medium,Iris-versicolor
medium,medium,low,medium,medium,Iris-versicolor
medium,low,low,medium,medium,Iris-versicolor
medium,medium,low,medium,medium,Iris-versicolor
medium,medium,medium,medium,medium,Iris-versicolor
medium,medium,medium,medium,medium,Iris-versicolor
medium,medium,medium,medium,medium,Iris-versicolor
medium,low,low,medium,medium,Iris-versicolor
medium,medium,low,medium,medium,Iris-versicolor
high,medium,medium,high,high,Iris-virginica
high,medium,low,high,high,Iris-virginica
high,high,medium,high,high,Iris-virginica
high,medium,medium,high,high,Iris-virginica
high,medium,medium,high,high,Iris-virginica
high,high,medium,high,high,Iris-virginica
high,low,low,medium,medium,Iris-virginica
high,high,medium,high,high,Iris-virginica
high,medium,low,high,high,Iris-virginica
high,high,medium,high,high,Iris-virginica
high,medium,medium,high,high,Iris-virginica
high,medium,low,high,high,Iris-virginica
high,high,medium,high,high,Iris-virginica
high,medium,low,high,high,Iris-virginica
high,medium,low,high,high,Iris-virginica
high,medium,medium,high,high,Iris-virginica
high,medium,medium,high,high,Iris-virginica
high,high,high,high,high,Iris-virginica
high,high,low,high,high,Iris-virginica
high,medium,low,high,medium,Iris-virginica
high,high,medium,high,high,Iris-virginica
high,medium,low,medium,high,Iris-virginica
high,high,low,high,high,Iris-virginica
high,medium,low,medium,high,Iris-virginica
high,medium,medium,high,high,Iris-virginica
high,high,medium,high,high,Iris-virginica
high,medium,low,medium,high,Iris-virginica
high,medium,medium,medium,high,Iris-virginica
high,medium,low,high,high,Iris-virginica
high,high,medium,high,medium,Iris-virginica
high,high,low,high,high,Iris-virginica
high,high,high,high,high,Iris-virginica
high,medium,low,high,high,Iris-virginica
high,medium,low,high,medium,Iris-virginica
high,medium,low,high,medium,Iris-virginica
high,high,medium,high,high,Iris-virginica
high,medium,medium,high,high,Iris-virginica
high,medium,medium,high,high,Iris-virginica
high,medium,medium,medium,high,Iris-virginica
high,high,medium,high,high,Iris-virginica
high,medium,medium,high,high,Iris-virginica
high,high,medium,high,high,Iris-virginica
high,medium,low,high,high,Iris-virginica
high,high,medium,high,high,Iris-virginica
high,medium,medium,high,high,Iris-virginica
high,medium,medium,high,high,Iris-virginica
high,medium,low,high,high,Iris-virginica
high,medium,medium,high,high,Iris-virginica
high,medium,medium,high,high,Iris-virginica
high,medium,medium,high,high,Iris-virginica
